scenario;scena1;prc.Striped_catfish;prc.Silver_Carp;prc.Clarias_macrocephalus;prc.Common_carp;EE.Macroinvertebrate;EE.Zooplancton;EE.Phytoplancton;EE.Feed;EE.Detritus;RDT;FCI;Profitability;n
scenario1;1;94;2;2;2;0.376980452;0.622290931;0.550356455;1.052824597;0.330909567;5516.845502;0.147494143;4414.431889;9
scenario10;10;76;20;2;2;0.372490923;0.626876028;0.564846923;1.054579411;0.344459339;4708.345049;0.151044807;3940.990301;9
scenario100;100;78;14;6;2;0.402869574;0.633950633;0.560624612;1.054344436;0.343552589;4871.292556;0.149932283;4103.266107;9
scenario1000;1000;18;16;64;2;0.821161796;0.75920315;0.571048411;1.08410795;0.408708543;3236.445841;0.152112603;4115.359671;9
scenario10000;10000;50;24;2;24;0.423886848;0.647326204;0.56789076;1.212567279;0.365738482;3697.481253;0.153983007;3492.585517;9
scenario10001;10001;48;26;2;24;0.423388011;0.647835659;0.569500812;1.219531941;0.367470336;3607.64787;0.154406015;3439.980896;9
scenario10002;10002;46;28;2;24;0.422889175;0.648345114;0.571110864;1.227102227;0.369217072;3517.814486;0.154831307;3387.376275;9
scenario10003;10003;44;30;2;24;0.422390338;0.64885457;0.572720916;1.23536072;0.370978883;3427.981103;0.155258902;3334.771654;9
scenario10004;10004;42;32;2;24;0.421891502;0.649364025;0.574330968;1.244405736;0.372755966;3338.147719;0.155688817;3282.167033;9
scenario10005;10005;40;34;2;24;0.421392665;0.64987348;0.57594102;1.254355254;0.374548519;3248.314335;0.15612107;3229.562412;9
scenario10006;10006;38;36;2;24;0.420893828;0.650382935;0.577551073;1.265352089;0.376356746;3158.480952;0.156555679;3176.957791;9
scenario10007;10007;36;38;2;24;0.420394992;0.650892391;0.579161125;1.277570795;0.378180853;3068.647568;0.156992664;3124.35317;9
scenario10008;10008;34;40;2;24;0.419896155;0.651401846;0.580771177;1.291226996;0.380021051;2978.814184;0.157432043;3071.748549;9
scenario10009;10009;32;42;2;24;0.419397319;0.651911301;0.582381229;1.306590222;0.381877552;2888.980801;0.157873834;3019.143928;9
scenario1001;1001;16;18;64;2;0.820662959;0.759712605;0.572658463;1.088944521;0.410833417;3146.612458;0.152553588;4062.75505;9
scenario10010;10010;30;44;2;24;0.418898482;0.652420756;0.583991281;1.324001878;0.383750575;2799.147417;0.158318057;2966.539307;9
scenario10011;10011;28;46;2;24;0.418399646;0.652930211;0.585601333;1.343900913;0.385640341;2709.314033;0.158764731;2913.934686;9
scenario10012;10012;26;48;2;24;0.417900809;0.653439667;0.587211385;1.366861339;0.387547076;2619.48065;0.159213875;2861.330065;9
scenario10013;10013;24;50;2;24;0.417401972;0.653949122;0.588821437;1.393648502;0.389471009;2529.647266;0.159665509;2808.725445;9
scenario10014;10014;22;52;2;24;0.416903136;0.654458577;0.590431489;1.425306058;0.391412374;2439.813882;0.160119654;2756.120824;9
scenario10015;10015;20;54;2;24;0.416404299;0.654968032;0.592041541;1.463295126;0.39337141;2349.980499;0.160576328;2703.516203;9
scenario10016;10016;18;56;2;24;0.415905463;0.655477488;0.593651593;1.509726209;0.395348357;2260.147115;0.161035553;2650.911582;9
scenario10017;10017;16;58;2;24;0.415406626;0.655986943;0.595261645;1.567765062;0.397343464;2170.313731;0.161497349;2598.306961;9
scenario10018;10018;14;60;2;24;0.414907789;0.656496398;0.596871697;1.642386445;0.399356982;2080.480348;0.161961736;2545.70234;9
scenario10019;10019;12;62;2;24;0.414408953;0.657005853;0.598481749;1.741881622;0.401389166;1990.646964;0.162428735;2493.097719;9
scenario1002;1002;14;20;64;2;0.820164123;0.76022206;0.574268515;1.09516297;0.412978555;3056.779074;0.152997085;4010.150429;9
scenario10020;10020;10;64;2;24;0.413910116;0.657515308;0.600091801;1.881174871;0.403440277;1900.813581;0.162898368;2440.493098;9
scenario10021;10021;8;66;2;24;0.41341128;0.658024764;0.601701853;2.090114743;0.405510581;1810.980197;0.163370656;2387.888477;9
scenario10022;10022;6;68;2;24;0.412912443;0.658534219;0.603311905;2.438347864;0.407600349;1721.146813;0.163845621;2335.283856;9
scenario10023;10023;4;70;2;24;0.412413606;0.659043674;0.604921957;3.134814105;0.409709857;1631.31343;0.164323283;2282.679235;9
scenario10024;10024;2;72;2;24;0.41191477;0.659553129;0.606532009;5.224212828;0.411839384;1541.480046;0.164803667;2230.074614;9
scenario10025;10025;70;2;4;24;0.443815122;0.646023681;0.55048411;1.164809594;0.34952875;4632.372152;0.149518417;4073.467319;9
scenario10026;10026;68;4;4;24;0.443316285;0.646533137;0.552094162;1.168321188;0.351124102;4542.538768;0.14991855;4020.862698;9
scenario10027;10027;66;6;4;24;0.442817448;0.647042592;0.553704214;1.172045607;0.352732607;4452.705385;0.150320793;3968.258077;9
scenario10028;10028;64;8;4;24;0.442318612;0.647552047;0.555314266;1.176002801;0.354354429;4362.872001;0.150725165;3915.653456;9
scenario10029;10029;62;10;4;24;0.441819775;0.648061502;0.556924318;1.180215299;0.355989735;4273.038617;0.151131679;3863.048835;9
scenario1003;1003;12;22;64;2;0.819665286;0.760731515;0.575878567;1.103454235;0.415144248;2966.94569;0.153443112;3957.545808;9
scenario10030;10030;60;12;4;24;0.441320939;0.648570958;0.55853437;1.184708629;0.357638692;4183.205234;0.151540354;3810.444214;9
scenario10031;10031;58;14;4;24;0.440822102;0.649080413;0.560144422;1.189511845;0.359301472;4093.37185;0.151951206;3757.839593;9
scenario10032;10032;56;16;4;24;0.440323265;0.649589868;0.561754474;1.194658147;0.36097825;4003.538466;0.15236425;3705.234972;9
scenario10033;10033;54;18;4;24;0.439824429;0.650099323;0.563364526;1.200185657;0.362669204;3913.705083;0.152779505;3652.630351;9
scenario10034;10034;52;20;4;24;0.439325592;0.650608778;0.564974578;1.20613836;0.364374514;3823.871699;0.153196986;3600.02573;9
scenario10035;10035;50;22;4;24;0.438826756;0.651118234;0.56658463;1.212567279;0.366094364;3734.038315;0.153616712;3547.421109;9
scenario10036;10036;48;24;4;24;0.438327919;0.651627689;0.568194683;1.219531941;0.36782894;3644.204932;0.1540387;3494.816488;9
scenario10037;10037;46;26;4;24;0.437829082;0.652137144;0.569804735;1.227102227;0.369578433;3554.371548;0.154462967;3442.211868;9
scenario10038;10038;44;28;4;24;0.437330246;0.652646599;0.571414787;1.23536072;0.371343035;3464.538164;0.154889531;3389.607247;9
scenario10039;10039;42;30;4;24;0.436831409;0.653156055;0.573024839;1.244405736;0.373122943;3374.704781;0.15531841;3337.002626;9
