"","scenario","scena1","prc.Grass_carp","prc.Common_carp","prc.Pike_perch","prc.Roach","prc.Tench","EE.Roach_juv","EE.Tench_juv","EE.Macroinvertebrate","EE.Zooplancton","EE.Macrophyte","EE.Phytoplancton","Feed","EE.Detritus","RDT","FCI","Profitability","n"
"1","scenario1","1",80,5,5,5,5,-0.101696420151262,-0.229282695008767,0.533245270802568,2.08803492744492,0.799423801256248,0.0301073379363101,0.523165790706647,0.0243693577104522,1681.91083988637,0.330604621154294,15474.2045643689,13
"2","scenario10","10",35,50,5,5,5,-0.101696420151262,-0.229282695008767,0.225100756251761,2.03383762517487,0.745394146290414,0.0168432977932612,0.761624525672788,0.0131364680173984,1148.11209846805,0.33098295245266,7271.94942239025,13
"3","scenario100","100",5,45,40,5,5,-0.443556566227192,-0.962614381353298,1.00575139144483,2.00864246818215,0.706569264769984,0.00704319365605837,0.592114493363601,0.00517653789819173,822.176900545834,0.334349468994572,5017.26340346107,13
"4","scenario1000","1000",30,20,30,10,10,0.509107444768186,-1.4029432353508,1.49588203617395,2.07458828142677,0.753992631429333,0.0184819378037926,0.456068514281189,0.0138983113720465,1233.73557090864,0.0564108203478724,8976.23946518235,13
"5","scenario1001","1001",25,25,30,10,10,0.509107444768186,-1.4029432353508,1.46164375677941,2.06856635895232,0.74798933643313,0.017008155565676,0.482563929277427,0.0126661307480258,1174.42459963994,0.0565675678575595,8064.87778274029,13
"6","scenario1002","1002",20,30,30,10,10,0.509107444768186,-1.4029432353508,1.42740547738488,2.06254443647787,0.741986041436926,0.0155343733275595,0.509059344273665,0.0114403030592548,1115.11362837123,0.0567250675366509,7153.51610029822,13
"7","scenario1003","1003",15,35,30,10,10,0.509107444768186,-1.4029432353508,1.39316719799034,2.05652251400342,0.735982746440722,0.0140605910894429,0.535554759269903,0.0102207792999201,1055.80265710253,0.0568833251411989,6242.15441785615,13
"8","scenario1004","1004",10,40,30,10,10,0.509107444768186,-1.4029432353508,1.35892891859581,2.05050059152897,0.729979451444518,0.0125868088513264,0.56205017426614,0.00900751096694869,996.491685833831,0.0570423463665606,5330.79273541409,13
"9","scenario1005","1005",5,45,30,10,10,0.509107444768186,-1.4029432353508,1.32469063920127,2.04447866905452,0.723976156448315,0.0111130266132099,0.588545589262378,0.00780045005357856,937.180714565129,0.0572021370576235,4419.43105297202,13
"10","scenario1006","1006",40,5,35,10,10,0.571462037738669,-1.57041435486811,1.7052272109002,2.0881944660691,0.765598491201283,0.021292729321668,0.35615160967634,0.0162850117217884,1356.63331768747,0.0563763996684578,11258.0319837412,13
"11","scenario1007","1007",35,10,35,10,10,0.571462037738669,-1.57041435486811,1.67098893150566,2.08217254359465,0.759595196205079,0.0198189470835514,0.382647024672578,0.0150386165621467,1297.32234641877,0.0565322557321678,10346.6703012992,13
"12","scenario1008","1008",30,15,35,10,10,0.571462037738669,-1.57041435486811,1.63675065211113,2.0761506211202,0.753591901208875,0.0183451648454349,0.409142439668816,0.0137986892703699,1238.01137515007,0.0566888562443966,9435.3086188571,13
"13","scenario1009","1009",25,20,35,10,10,0.571462037738669,-1.57041435486811,1.60251237271659,2.07012869864575,0.747588606212671,0.0168713826073184,0.435637854665054,0.0125651796315802,1178.70040388136,0.0568462067689183,8523.94693641504,13
"14","scenario101","101",40,5,45,5,5,-0.492393729952325,-1.06737605083109,1.38628796314375,2.05235826519673,0.748191599522953,0.0172228963645165,0.359720513777564,0.0135666455549005,1241.62950366817,0.337780971880574,11855.8643342303,13
"15","scenario1010","1010",20,25,35,10,10,0.571462037738669,-1.57041435486811,1.56827409332206,2.0641067761713,0.741585311216468,0.0153976003692018,0.462133269661292,0.0113380379493656,1119.38943261266,0.0570043130512146,7612.58525397297,13
"16","scenario1011","1011",15,30,35,10,10,0.571462037738669,-1.57041435486811,1.53403581392752,2.05808485369685,0.735582016220264,0.0139238181310853,0.48862868465753,0.0101172150391054,1060.07846134396,0.0571631807207522,6701.2235715309,13
"17","scenario1012","1012",10,35,35,10,10,0.571462037738669,-1.57041435486811,1.49979753453299,2.0520629312224,0.72957872122406,0.0124500358929687,0.515124099653767,0.00890266222139915,1000.76749007526,0.0573228156696947,5789.86188908883,13
"18","scenario1013","1013",5,40,35,10,10,0.571462037738669,-1.57041435486811,1.46555925513846,2.04604100874795,0.723575426227856,0.0109762536548522,0.541619514650005,0.0076943313155959,941.456518806556,0.0574832237172401,4878.50020664677,13
"19","scenario1014","1014",35,5,40,10,10,0.633816630709151,-1.73788547438542,1.81185754744284,2.08373488328808,0.759194465984621,0.0196821741251938,0.335720950060205,0.0149400839024298,1301.5981506602,0.0568106580583074,10805.7394549739,13
"20","scenario1015","1015",30,10,40,10,10,0.633816630709151,-1.73788547438542,1.77761926804831,2.07771296081363,0.753191170988417,0.0182083918870772,0.362216365056443,0.0136988095794403,1242.28717939149,0.0569678630089993,9894.37777253185,13
"21","scenario1016","1016",25,15,40,10,10,0.633816630709151,-1.73788547438542,1.74338098865377,2.07169103833918,0.747187875992213,0.0167346096489607,0.388711780052681,0.0124639681658796,1182.97620812279,0.0571258214819526,8983.01609008978,13
"22","scenario1017","1017",20,20,40,10,10,0.633816630709151,-1.73788547438542,1.70914270925924,2.06566911586473,0.74118458099601,0.0152608274108441,0.415207195048918,0.0112355097831254,1123.66523685409,0.0572845392451025,8071.65440764772,13
"23","scenario1018","1018",15,25,40,10,10,0.633816630709151,-1.73788547438542,1.67490442986471,2.05964719339028,0.735181285999806,0.0137870451727276,0.441702610045156,0.0100133850668821,1064.35426558539,0.0574440219937406,7160.29272520565,13
